name;surname;;;;;;;;;;;;;;;;;;;
隣龞龡;龕龖龗;;;;;;;;;;;;;;;;;;;
兀嗀﨎;蘒齹齺;;;;;;;;;;;;;;;;;;;
龍龎;龒龓龔;;;;;;;;;;;;;;;;;;;
齪齫齬;齚齛齜齝;;;;;;;;;;;;;;;;;;;
齈齉齊齋齌齍齎齏;鼲鼳鼴鼵鼶鼸鼺鼼;;;;;;;;;;;;;;;;;;;
鼝鼞鼟鼡鼣鼤鼥鼦;鼆鼇鼈鼉鼊鼌鼏鼑;;;;;;;;;;;;;;;;;;;
黳黴黵黶黷黸黺;黗黙黚點黡黣黤黦;;;;;;;;;;;;;;;;;;;
凉秊裏;龥郎;;;;;;;;;;;;;;;;;;;
龢龣龤;﨔礼﨟;;;;;;;;;;;;;;;;;;;
﨏﨑﨓;龘龜龝;;;;;;;;;;;;;;;;;;;
﨧﨨﨩;﨡﨣﨤;;;;;;;;;;;;;;;;;;;
齾龁龂;齻齼齽;;;;;;;;;;;;;;;;;;;
龒龓龔;龏龐龑;;;;;;;;;;;;;;;;;;;
麯麰麱;黰黱黲;;;;;;;;;;;;;;;;;;;
麺麼麿;麶麷麹;;;;;;;;;;;;;;;;;;;
麲麳麵;麬麭麮;;;;;;;;;;;;;;;;;;;
黬黭黮;齶齷齸;;;;;;;;;;;;;;;;;;;
齳齴齵;齰齱齲;;;;;;;;;;;;;;;;;;;
齭齮齯;齧齨齩;;;;;;;;;;;;;;;;;;;
齤齥齦;齒齓齔齕齖齗齘齙;;;;;;;;;;;;;;;;;;;
齡齢齣;黊黋黌黐黒黓黕黖;;;;;;;;;;;;;;;;;;;
齞齟齠;鼧鼨鼩鼪鼫鼭鼮鼰;;;;;;;;;;;;;;;;;;;
鼒鼔鼕鼖鼘鼚鼛鼜;黿鼀鼁鼂鼃鼄鼅;;;;;;;;;;;;;;;;;;;
黨黫黬黭黮;黽黿鼀鼁鼂鼃鼄鼅;;;;;;;;;;;;;;;;;;;
黀黁黂黃黅黆黇黈;麫鼿齀齁齂齃齅齆齇;;;;;;;;;;;;;;;;;;;
餈餉養餋餌餎餏餑;餒餓餔餕餖餗餘餙;;;;;;;;;;;;;;;;;;;
餚餛餜餝餞餟餠餡;餢餣餤餥餦餧館餩;;;;;;;;;;;;;;;;;;;
餪餫餬餭餯餰餱餲;餳餴餵餶餷餸餹餺;;;;;;;;;;;;;;;;;;;
餻餼餽餾餿饀饁饂;饃饄饅饆饇饈饉饛;;;;;;;;;;;;;;;;;;;
饊饋饌饍饎饏饐饑;饒饓饖饗饘饙饚馃;;;;;;;;;;;;;;;;;;;
饜饝饞饟饠饡饢饤;饦饳饸饹饻饾馂鸠;;;;;;;;;;;;;;;;;;;
馉稹稷穑黏馥穰皈;皎皓皙皤瓞瓠甬鹂;;;;;;;;;;;;;;;;;;;
鸢鸨鸩鸪鸫鸬鸲鸱;鸶鸸鸷鸹鸺鸾鹁鹣;;;;;;;;;;;;;;;;;;;
鹄鹆鹇鹈鹉鹋鹌鹎;鹑鹕鹗鹚鹛鹜鹞疬;;;;;;;;;;;;;;;;;;;
鹦鹧鹨鹩鹪鹫鹬鹱;鹭鹳疒疔疖疠疝痫;;;;;;;;;;;;;;;;;;;
疣疳疴疸痄疱疰痃;痂痖痍痣痨痦痤馩;;;;餈;餉;養;餋;餌;餎;餏;餑;餒;餓;餔;餕;餖;餗;餘;餙
痧瘃痱痼痿瘐瘀瘅;瘌瘗瘊瘥瘘瘕瘙馹;;;;餚;餛;餜;餝;餞;餟;餠;餡;餢;餣;餤;餥;餦;餧;館;餩
馌馎馚馛馜馝馞馟;馠馡馢馣馤馦馧駉;;;;餪;餫;餬;餭;餯;餰;餱;餲;餳;餴;餵;餶;餷;餸;餹;餺
馪馫馬馭馮馯馰馱;馲馳馴馵馶馷馸駨;;;;餻;餼;餽;餾;餿;饀;饁;饂;饃;饄;饅;饆;饇;饈;饉;饛
馺馻馼馽馾馿駀駁;駂駃駄駅駆駇駈駸;;;;饊;饋;饌;饍;饎;饏;饐;饑;饒;饓;饖;饗;饘;饙;饚;馃
駊駋駌駍駎駏駐駑;駒駓駔駕駖駗駘癔;;;;饜;饝;饞;饟;饠;饡;饢;饤;饦;饳;饸;饹;饻;饾;馂;鸠
駙駚駛駜駝駞駟駠;駡駢駣駤駥駦駧窨;;;;馉;稹;稷;穑;黏;馥;穰;皈;皎;皓;皙;皤;瓞;瓠;甬;鹂
駩駪駫駬駭駮駯駰;駱駲駳駴駵駶駷裣;;;;鸢;鸨;鸩;鸪;鸫;鸬;鸲;鸱;鸶;鸸;鸷;鸹;鸺;鸾;鹁;鹣
駹瘛瘼瘢瘠癀瘭瘰;瘿瘵癃瘾瘳癍癞襁;;;;鹄;鹆;鹇;鹈;鹉;鹋;鹌;鹎;鹑;鹕;鹗;鹚;鹛;鹜;鹞;疬
癜癖癫癯翊竦穸穹;窀窆窈窕窦窠窬耧;;;;鹦;鹧;鹨;鹩;鹪;鹫;鹬;鹱;鹭;鹳;疒;疔;疖;疠;疝;痫
窭窳衤衩衲衽衿袂;袢裆袷袼裉裢裎騉;;;;疣;疳;疴;疸;痄;疱;疰;痃;痂;痖;痍;痣;痨;痦;痤;馩
裥裱褚裼裨裾裰褡;褙褓褛褊褴褫褶騙;;;;痧;瘃;痱;痼;痿;瘐;瘀;瘅;瘌;瘗;瘊;瘥;瘘;瘕;瘙;馹
襦襻疋胥皲皴矜耒;耔耖耜耠耢耥耦騩;;;;馌;馎;馚;馛;馜;馝;馞;馟;馠;馡;馢;馣;馤;馦;馧;駉
耩耨耱耋耵聃聆聍;聒聩聱覃顸颀颃驈;;;;馪;馫;馬;馭;馮;馯;馰;馱;馲;馳;馴;馵;馶;馷;馸;駨
駺駻駼駽駾駿騀騁;騂騃騄騅騆騇騈驘;;;;馺;馻;馼;馽;馾;馿;駀;駁;駂;駃;駄;駅;駆;駇;駈;駸
騊騋騌騍騎騏騐騑;騒験騔騕騖騗騘虔;;;;駊;駋;駌;駍;駎;駏;駐;駑;駒;駓;駔;駕;駖;駗;駘;癔
騚騛騜騝騞騟騠騡;騢騣騤騥騦騧騨蚩;;;;駙;駚;駛;駜;駝;駞;駟;駠;駡;駢;駣;駤;駥;駦;駧;窨
騪騫騬騭騮騯騰騱;騲騳騴騵騶騷騸蛳;;;;駩;駪;駫;駬;駭;駮;駯;駰;駱;駲;駳;駴;駵;駶;駷;裣
騹騺騻騼騽騾騿驀;驁驂驃驄驅驆驇蜻;;;;駹;瘛;瘼;瘢;瘠;癀;瘭;瘰;瘿;瘵;癃;瘾;瘳;癍;癞;襁
驉驊驋驌驍驎驏驐;驑驒驓驔驕驖驗蝻;;;;癜;癖;癫;癯;翊;竦;穸;穹;窀;窆;窈;窕;窦;窠;窬;耧
驙颉颌颍颏颔颚颛;颞颟颡颢颥颦虍驩;;;;窭;窳;衤;衩;衲;衽;衿;袂;袢;裆;袷;袼;裉;裢;裎;騉
虬虮虿虺虼虻蚨蚍;蚋蚬蚝蚧蚣蚪蚓骭;;;;裥;裱;褚;裼;裨;裾;裰;褡;褙;褓;褛;褊;褴;褫;褶;騙
蚶蛄蚵蛎蚰蚺蚱蚯;蛉蛏蚴蛩蛱蛲蛭髈;;;;襦;襻;疋;胥;皲;皴;矜;耒;耔;耖;耜;耠;耢;耥;耦;騩
蛐蜓蛞蛴蛟蛘蛑蜃;蜇蛸蜈蜊蜍蜉蜣髲;;;;耩;耨;耱;耋;耵;聃;聆;聍;聒;聩;聱;覃;顸;颀;颃;驈
蜞蜥蜮蜚蜾蝈蜴蜱;蜩蜷蜿螂蜢蝽蝾鬅;;;;駺;駻;駼;駽;駾;駿;騀;騁;騂;騃;騄;騅;騆;騇;騈;驘
蝠蝰蝌蝮螋蝓蝣蝼;蝤蝙蝥螓螯螨蟒蟑;;;;騊;騋;騌;騍;騎;騏;騐;騑;騒;験;騔;騕;騖;騗;騘;虔
驚驛驜驝驞驟驠驡;驢驣驤驥驦驧驨罂;;;;騚;騛;騜;騝;騞;騟;騠;騡;騢;騣;騤;騥;騦;騧;騨;蚩
驪驫驲骃骉骍骎骔;骕骙骦骩骪骫骬笙;;;;騪;騫;騬;騭;騮;騯;騰;騱;騲;騳;騴;騵;騶;騷;騸;蛳
骮骯骲骳骴骵骹骻;骽骾骿髃髄髆髇筮;;;;騹;騺;騻;騼;騽;騾;騿;驀;驁;驂;驃;驄;驅;驆;驇;蜻
髉髊髍髎髏髐髒體;髕髖髗髙髚髛髜箫;;;;驉;驊;驋;驌;驍;驎;驏;驐;驑;驒;驓;驔;驕;驖;驗;蝻
髝髞髠髢髣髤髥髧;髨髩髪髬髮髰髱鬙;;;;驙;颉;颌;颍;颏;颔;颚;颛;颞;颟;颡;颢;颥;颦;虍;驩
髳髴髵髶髷髸髺髼;髽髾髿鬀鬁鬂鬄鬫;;;;虬;虮;虿;虺;虼;虻;蚨;蚍;蚋;蚬;蚝;蚧;蚣;蚪;蚓;骭
鬆蟆螈螅螭螗螃螫;蟥螬螵螳蟋蟓螽鬿;;;;蚶;蛄;蚵;蛎;蚰;蚺;蚱;蚯;蛉;蛏;蚴;蛩;蛱;蛲;蛭;髈
蟀蟊蟛蟪蟠蟮蠖蠓;蟾蠊蠛蠡蠹蠼缶魪;;;;蛐;蜓;蛞;蛴;蛟;蛘;蛑;蜃;蜇;蛸;蜈;蜊;蜍;蜉;蜣;髲
罄罅舐竺竽笈笃笄;笕笊笫笏筇笸笪魺;;;;蜞;蜥;蜮;蜚;蜾;蝈;蜴;蜱;蜩;蜷;蜿;螂;蜢;蝽;蝾;鬅
笮笱笠笥笤笳笾笞;筘筚筅筵筌筝筠舣;;;;蝠;蝰;蝌;蝮;螋;蝓;蝣;蝼;蝤;蝙;蝥;螓;螯;螨;蟒;蟑
